City2,mahoz
חוות שיקמים,נגב
שחר,נגב
תירוש,השפלה וההר
"ניר ח""ן",נגב
ניר ח''ן,נגב
חצבה,נגב
נועם,נגב
בית ניר,נגב
שדה משה,נגב
באר אורה,נגב
מקווה ישראל,מרכז
אמציה,נגב
לכיש,נגב
ראש פינה,גולן גליל
אזור תעשייה צ.ח.ר,גולן גליל
שדות מיכה,השפלה וההר
מזכרת בתיה,השפלה וההר
יסוד המעלה,גולן גליל
אופקים,נגב
עוצם,נגב
בת שלמה,מרכז
גדות,גולן גליל
שדה דוד,נגב
איתן,נגב
גפן,השפלה וההר
אליכין,מרכז
מטולה,גולן גליל
זוהר,נגב
יבנאל,עמקים
כפר תבור,עמקים
מנחמיה,עמקים
אילנייה,עמקים
לוזית,השפלה וההר
עתלית,מרכז
המכללה האקדמית כנרת,עמקים
נוגה,נגב
פוריה כפר עבודה,עמקים
כנרת (קבוצה),עמקים
כינרת קבוצה,עמקים
מצפה,עמקים
בית ירח,עמקים
נחושה,השפלה וההר
דגניה ב,עמקים
דגניה א',עמקים
דגניה א,עמקים
כנרת (מושבה),עמקים
כינרת מושבה,עמקים
"יד רמב""ם",השפלה וההר
יד רמב''ם,השפלה וההר
מגדל,עמקים
מרחביה (קיבוץ),עמקים
מרחביה קיבוץ,עמקים
אור הנר,נגב
ניר עוז,נגב
אשדוד,השפלה וההר
אל עזי,השפלה וההר
אשבול,נגב
גן שמואל,מרכז
עין הוד,מרכז
כפר גלעדי,גולן גליל
כפר יובל,גולן גליל
איילת השחר,גולן גליל
קריית ענבים,השפלה וההר
דגניה ב',עמקים
נהלל,עמקים
עין חרוד (מאוחד),עמקים
קבוצת גבע,עמקים
תל יוסף,עמקים
כפר יחזקאל,עמקים
שאנטי במדבר,נגב
גבע,עמקים
כרם בן שמן,השפלה וההר
עין חרוד (איחוד),עמקים
חפצי-בה,עמקים
גיניגר,עמקים
בלפוריה,עמקים
בית אלפא,עמקים
יגור,עמקים
מרחביה (מושב),עמקים
מרחביה מושב,עמקים
"כפר מל""ל",מרכז
כפר מל''ל,מרכז
מצפה רמון,נגב
מאיר שפיה,מרכז
תל עדשים,עמקים
מזרע,עמקים
כפר גדעון,עמקים
כפר סילבר,נגב
כפר חסידים א',עמקים
כפר חסידים,עמקים
אדירים,עמקים
ישובי אומן,עמקים
חופית,מרכז
רמת ישי,עמקים
כעביה,עמקים
שריד,עמקים
שריגים,השפלה וההר
רמת רחל,השפלה וההר
סתריה,השפלה וההר
גת רימון,מרכז
משמר העמק,עמקים
כפר ברוך,עמקים
גבת,עמקים
יפעת,עמקים
רמת דוד,עמקים
עין שמר,מרכז
כפר יהושע,עמקים
ברק,עמקים
שדה יעקב,עמקים
בית זרע,עמקים
גן שלמה,השפלה וההר
גדיש,עמקים
דבורה,עמקים
גבעת ברנר,השפלה וההר
תל מונד,מרכז
אזור תעשייה באר טוביה,השפלה וההר
באר טוביה,השפלה וההר
עיינות,השפלה וההר
עין ורד,מרכז
נען,השפלה וההר
בית חנן,השפלה וההר
חולדה,השפלה וההר
חירות,מרכז
תימורים,השפלה וההר
מלאה,עמקים
ניר יפה,עמקים
חצור,השפלה וההר
גן יבנה,השפלה וההר
עין החורש,מרכז
כפר יונה,מרכז
כפר יעבץ,מרכז
פרדסייה,מרכז
פרדסיה,מרכז
גבעת חיים (מאוחד),מרכז
נטעים,השפלה וההר
אביחיל,מרכז
אפיקים,עמקים
"כפר ביל""ו",השפלה וההר
כפר ביל''ו,השפלה וההר
רמת יוחנן,עמקים
אבן יהודה,מרכז
ירקונה,מרכז
רמת הכובש,מרכז
נעורים,מרכז
כפר הס,מרכז
אשדות יעקב איחוד,עמקים
אשדות יעקב (מאוחד),עמקים
כפר פינס,מרכז
כפר ויתקין,מרכז
הדר עם,מרכז
כפר החורש,עמקים
כפר חיים,מרכז
משמר השרון,מרכז
קדימה-צורן,מרכז
גיבתון,השפלה וההר
מעברות,מרכז
צופית,מרכז
אשדות יעקב (איחוד),עמקים
בית ינאי,מרכז
בית עובד,השפלה וההר
אלישיב,מרכז
חגלה,מרכז
רמות השבים,מרכז
"גבעת ח""ן",מרכז
גבעת חן,מרכז
מוצא עילית,השפלה וההר
בית צבי,מרכז
משמרות,מרכז
"כפר הרא""ה",מרכז
גני עם,מרכז
חיבת ציון,מרכז
כפר ביאליק,עמקים
עין עירון,מרכז
שושנת העמקים,מרכז
גן השומרון,מרכז
גני תקווה,מרכז
מעש,מרכז
שפיים,מרכז
כפר ידידיה,מרכז
ביצרון,השפלה וההר
חבצלת השרון,מרכז
שער העמקים,עמקים
גן חיים,מרכז
יקנעם עילית,עמקים
יקנעם המושבה והזורע,עמקים
יקנעם (מושבה),עמקים
יערות הכרמל,עמקים
גבעת וולפסון,עמקים
אזור תעשייה יקנעם עילית,עמקים
בית השיטה,עמקים
תקומה וחוות יזרעם,נגב
נתיבות,נגב
רשפון,מרכז
בית שערים,עמקים
כפר סירקין,מרכז
הזורע,עמקים
ביתן אהרן,מרכז
חולתה,גולן גליל
כפר המכבי,עמקים
כפר חיטים,עמקים
ניר דוד (תל עמל),עמקים
נופך,השפלה וההר
שדה נחום,עמקים
גינוסר,עמקים
מסדה,עמקים
שער הגולן,עמקים
אשדות יעקב מאוחד,עמקים
בית יוסף,עמקים
כפר שמריהו,מרכז
טירת צבי,עמקים
מולדת,עמקים
עין השופט,עמקים
מעוז חיים,עמקים
עין גב,עמקים
כפר מנחם,נגב
צור משה,מרכז
אושה,עמקים
חניתה,גולן גליל
פקיעין חדשה,גולן גליל
פקיעין,גולן גליל
שבי ציון,גולן גליל
שדה ורבורג,מרכז
אלונים,עמקים
מעלה החמישה,השפלה וההר
תל יצחק,מרכז
בית יהושע,מרכז
עין המפרץ,גולן גליל
מעיין צבי,מרכז
שרונה,עמקים
שדה יואב,נגב
אילון,גולן גליל
כפר רופין,עמקים
נווה איתן,עמקים
כפר מסריק,גולן גליל
מסילות,עמקים
דלייה,עמקים
בית עוזיאל,השפלה וההר
דפנה,גולן גליל
קיבוץ דן,גולן גליל
דן,גולן גליל
שדה אליהו,עמקים
גשר,עמקים
שדמות דבורה,עמקים
הזורעים,עמקים
מחניים,גולן גליל
מנחת מחניים,גולן גליל
נהורה,נגב
כפר גליקסון,מרכז
גן שורק,השפלה וההר
נווה ים,מרכז
אפק,גולן גליל
נגבה,נגב
כפר נטר,מרכז
בית אורן,מרכז
עמיעוז,נגב
עמיר,גולן גליל
כפר ורבורג,השפלה וההר
בית הלל,גולן גליל
שאר ישוב,גולן גליל
מצובה,גולן גליל
בית יצחק-שער חפר,מרכז
שדות ים,מרכז
עזוז,נגב
שדה נחמיה,גולן גליל
אלומות,עמקים
ניר צבי,השפלה וההר
קבוצת יבנה,השפלה וההר
רמת השופט,עמקים
דורות,נגב
איבים,נגב
רמת צבי,עמקים
גת (קיבוץ),נגב
גברעם,נגב
חמדיה,עמקים
מענית,מרכז
כפר סאלד,גולן גליל
גליל ים,מרכז
מנרה,גולן גליל
ניר עם,נגב
מטווח ניר עם,נגב
ניצן,נגב
גבולות,נגב
בית זיד,עמקים
רביבים,נגב
חורשים,מרכז
הגושרים,גולן גליל
כפר בלום,גולן גליל
יד מרדכי,נגב
ניצנים,נגב
ניצנה,נגב
"גבעת ניל""י",מרכז
רוחמה,נגב
חפץ חיים,השפלה וההר
כפר אוריה,השפלה וההר
בית קשת,עמקים
שמיר,גולן גליל
עין העמק,עמקים
בירייה,גולן גליל
ביריה,גולן גליל
גלעד (אבן יצחק),עמקים
גזר,השפלה וההר
כדורי,עמקים
רמות נפתלי,גולן גליל
בית הלוי,מרכז
חוקוק,עמקים
מגל,מרכז
עברון,גולן גליל
המעפיל,מרכז
משגב עם,גולן גליל
גאולים,מרכז
להבות הבשן,גולן גליל
מכמורת,מרכז
"עין הנצי""ב",עמקים
עמיעד,גולן גליל
בני דרור,מרכז
כפר מונש,מרכז
כפר קיש,עמקים
בצרה,מרכז
רגבה,גולן גליל
קדמה,נגב
גלאון,נגב
שובל,נגב
משמר הנגב,נגב
נבטים,נגב
חצרים,נגב
שרשרת,נגב
בארי,נגב
אבן שמואל,נגב
ניר יצחק,נגב
אורים,נגב
נווה אילן,השפלה וההר
חצור-אשדוד,השפלה וההר
דברת,עמקים
נאות מרדכי,גולן גליל
יחיעם,גולן גליל
קריית שלמה,מרכז
צאלים,נגב
קלחים,נגב
שוקדה,נגב
מעיין ברוך,גולן גליל
יקום,מרכז
בני ציון,מרכז
סעד,נגב
משאבי שדה,נגב
חרב לאת,מרכז
העוגן,מרכז
גבים,נגב
משמרת,מרכז
עין כרמל,מרכז
כפר גלים,מרכז
ואדי אל חמאם,עמקים
ברור חיל,נגב
מתחם פי גלילות,מרכז
אלוני אבא,עמקים
כפר טבאש,עמקים
בית לחם הגלילית,עמקים
חג'אג'רה,עמקים
דלתון,גולן גליל
שמרת,גולן גליל
שומרת,גולן גליל
נחשולים,מרכז
החותרים,מרכז
נצר סרני,השפלה וההר
עין דור,עמקים
רשפים,עמקים
שלוחות,עמקים
יסודות,השפלה וההר
גדעונה,עמקים
כפר הנשיא,גולן גליל
רגבים,מרכז
רמות מנשה,עמקים
אודים,מרכז
נורדייה,מרכז
בני עטרות,השפלה וההר
נחלים,השפלה וההר
בארות יצחק,השפלה וההר
יזרעאל,עמקים
יפתח,גולן גליל
סער,גולן גליל
שורש,השפלה וההר
גזית,עמקים
רמת רזיאל,השפלה וההר
טל שחר,השפלה וההר
געתון,גולן גליל
הראל,השפלה וההר
צובה,השפלה וההר
בית דגן,השפלה וההר
קריית עקרון,השפלה וההר
אבו גוש,השפלה וההר
אבו סנאן,גולן גליל
דחי,עמקים
אם-אל-גנם,עמקים
אכסאל,עמקים
בית ג'ן,גולן גליל
בית ג'אן,גולן גליל
מגאר,גולן גליל
בועיינה-נוג'ידאת,עמקים
בית סוהר צלמון,עמקים
בענה,גולן גליל
ג'ולס,גולן גליל
ג'ש (גוש חלב),גולן גליל
דיר אל,גולן גליל
דבורייה,עמקים
דבוריה,עמקים
דיר אל-אסד,גולן גליל
לוטם וחמדון,גולן גליל
דייר חנא,גולן גליל
דיר חנא,גולן גליל
דייר ראפאת,השפלה וההר
אדוריים,השפלה וההר
דאלית אל-כרמל,מרכז
דלית אל כרמל,מרכז
חורפיש,גולן גליל
טייבה (בעמק),עמקים
טורעאן,עמקים
יפיע,עמקים
ירכא,גולן גליל
כאבול,גולן גליל
כאוכב אבו אלהיג'א,גולן גליל
כאוכב אבו אל-היג'א,גולן גליל
כפר יסיף,גולן גליל
כפר יאסיף,גולן גליל
ג'וליס,גולן גליל
כפר כמא,עמקים
כפר כנא,עמקים
כפר מנדא,עמקים
עילוט,עמקים
כפר מצר,עמקים
עין ראפה,השפלה וההר
מג'ד אל-כרום,גולן גליל
מג'דל כרום,גולן גליל
מזרעה,גולן גליל
מעיליא,גולן גליל
משהד,עמקים
עין נקובא,השפלה וההר
נחף,גולן גליל
ניין,עמקים
נאעורה,עמקים
נעורה,עמקים
סאג'ור,גולן גליל
סולם,עמקים
שזור,גולן גליל
עוזייר,עמקים
אעבלין,גולן גליל
עילבון,עמקים
עיילבון,עמקים
בועיינה,עמקים
עראבה,גולן גליל
אזור תעשייה רותם,נגב
עין מאהל,עמקים
עספיא,מרכז
פסוטה,גולן גליל
פקיעין (בוקייעה),גולן גליל
פוריידיס,מרכז
שעב,גולן גליל
רומאנה,עמקים
ריחאנייה,גולן גליל
ג'סר א-זרקא,מרכז
ריינה,עמקים
ראמה,גולן גליל
עין אל-אסד,גולן גליל
טמרה (יזרעאל),עמקים
גנות הדר,מרכז
ניר בנים,השפלה וההר
שדמה,השפלה וההר
בוסתן הגליל,גולן גליל
בית אלעזרי,השפלה וההר
משמר דוד,השפלה וההר
רבדים,נגב
אזור,מרכז
גבעת שמש,השפלה וההר
צרעה,השפלה וההר
מעונה,גולן גליל
בית גמליאל,השפלה וההר
בית העמק,גולן גליל
מבקיעים,נגב
גשר הזיו,גולן גליל
יסעור,גולן גליל
כברי,גולן גליל
יד בנימין,השפלה וההר
סאסא,גולן גליל
כפר ראש הנקרה,גולן גליל
ראש הנקרה,גולן גליל
"כרם מהר""ל",מרכז
כרם מהר''ל,מרכז
כפר הנגיד,השפלה וההר
זיקים,נגב
לביא,עמקים
מגידו,עמקים
סביון,מרכז
כפר הרי''ף וצומת ראם,השפלה וההר
בני ראם,השפלה וההר
פארק תעשייה ראם,השפלה וההר
בצת,גולן גליל
חוף בצת,גולן גליל
נווה אור,עמקים
עשרת,השפלה וההר
בני דרום,השפלה וההר
מתחם בני דרום,השפלה וההר
ערוגות,השפלה וההר
צפרייה,השפלה וההר
צפריה,השפלה וההר
לוחמי הגיטאות,גולן גליל
לוחמי הגטאות,גולן גליל
מלכייה,גולן גליל
מלכיה,גולן גליל
פלמחים,השפלה וההר
פארק תעשיות פלמחים,השפלה וההר
בית קמה,נגב
פרוד,גולן גליל
נירים,נגב
אלקוש,גולן גליל
בית עריף,השפלה וההר
כפר שמאי,גולן גליל
מזור,השפלה וההר
ספסופה,גולן גליל
מירון,גולן גליל
בית ספר שדה מירון,גולן גליל
כפר חושן,גולן גליל
סתרייה,השפלה וההר
צרופה,מרכז
ציפורי,עמקים
שומרה,גולן גליל
זרעית,גולן גליל
קדרון,השפלה וההר
רינתיה,השפלה וההר
ברקאי,מרכז
חדיד,השפלה וההר
בית גוברין,נגב
משואות יצחק,נגב
עין צורים,נגב
יראון,גולן גליל
ג'לג'וליה,מרכז
ג'ת,מרכז
כפר ברא,מרכז
כפר קאסם,מרכז
מוקייבלה,עמקים
מוקיבלה,עמקים
צנדלה,עמקים
ערערה,מרכז
קלנסווה,מרכז
מצר,מרכז
מייסר,מרכז
איבטין,עמקים
אבטין,עמקים
כפר קרע,מרכז
שייח' דנון,גולן גליל
שער אפרים,מרכז
חוסן,גולן גליל
כיסרא סמיע,גולן גליל
טירת יהודה,השפלה וההר
כרם בן זמרה,גולן גליל
תקומה,נגב
עומר,נגב
ברעם,גולן גליל
מפלסים,נגב
משמר איילון,השפלה וההר
בית נקופה,השפלה וההר
כפר טרומן,השפלה וההר
לימן,גולן גליל
הבונים,מרכז
עין השלושה,נגב
הסוללים,עמקים
מעגן,עמקים
אביאל,מרכז
אומץ,מרכז
גבעת שמואל,מרכז
אליקים,עמקים
גבע כרמל,מרכז
היוגב,עמקים
בניה,השפלה וההר
נווה ימין,מרכז
עין איילה,מרכז
עלמה,גולן גליל
מגדים,מרכז
כפר אחים,השפלה וההר
שפיר,נגב
"נתיב הל""ה",השפלה וההר
נתיב הל''ה,השפלה וההר
מעגן מיכאל,מרכז
מגן,נגב
כפר חב''ד,השפלה וההר
"כפר חב""ד",השפלה וההר
בארותיים,מרכז
בורגתה,מרכז
ניר ישראל,נגב
חצב,השפלה וההר
ארבל,עמקים
האון,עמקים
גבעת עוז,עמקים
נחשונים,מרכז
גיאה,נגב
כפר דניאל,השפלה וההר
עמקה,גולן גליל
תפרח,נגב
בית זית,השפלה וההר
עזריה,השפלה וההר
בן עמי,גולן גליל
רעים,נגב
ארז,נגב
להבות חביבה,מרכז
אייל,מרכז
חגור,מרכז
ירחיב,מרכז
תל קציר,עמקים
ניר גלים,השפלה וההר
שדה אילן,עמקים
מגשימים,מרכז
בית הגדי,נגב
הודיה,נגב
הודייה,נגב
תלמי יחיאל,השפלה וההר
משמר השבעה,השפלה וההר
אזור תעשייה נ.ע.מ,נגב
אליפלט,גולן גליל
כורזים ורד הגליל,גולן גליל
מישר,השפלה וההר
משמר הירדן,גולן גליל
גן יאשיה,מרכז
רמות מאיר,השפלה וההר
גילת,נגב
עולש,מרכז
דור,מרכז
שדה עוזיהו,השפלה וההר
אשתאול,השפלה וההר
שואבה,השפלה וההר
מסילת ציון,השפלה וההר
כפר שמואל,השפלה וההר
תלמי יפה,נגב
גמזו,השפלה וההר
ברכיה,נגב
בית שקמה,נגב
מסלול,נגב
פטיש,נגב
פדויים,נגב
בית מאיר,השפלה וההר
תעוז,השפלה וההר
ינוב,מרכז
גורן,גולן גליל
בית עזרא,השפלה וההר
מצליח,השפלה וההר
יד חנה,מרכז
יציץ,השפלה וההר
בן זכאי,השפלה וההר
שובה,נגב
בטחה,נגב
שתולים,השפלה וההר
כפר מרדכי,השפלה וההר
משגב דב,השפלה וההר
קוממיות,נגב
פורת,מרכז
אתר דודאים,נגב
כרמייה,נגב
כרמיה,נגב
ניר עציון,מרכז
מבוא ביתר,השפלה וההר
אמונים,השפלה וההר
עמיקם,מרכז
צוריאל,גולן גליל
יד נתן,נגב
מחסיה,השפלה וההר
נחשון,השפלה וההר
תרום,השפלה וההר
עמינדב,השפלה וההר
אורה,השפלה וההר
אבן ספיר,השפלה וההר
בית נחמיה,השפלה וההר
אחיהוד,גולן גליל
כפר זיתים,עמקים
גבעת יערים,השפלה וההר
זיתן,השפלה וההר
רנן,נגב
משען,נגב
נתיב השיירה,גולן גליל
גבעתי,השפלה וההר
עגור,השפלה וההר
יערה,גולן גליל
צלפון,השפלה וההר
אחיעזר,השפלה וההר
יגל,השפלה וההר
זכריה,השפלה וההר
בית חנניה,מרכז
חמד,השפלה וההר
"גבעת כ""ח",השפלה וההר
גבעת כ''ח,השפלה וההר
יושיביה,נגב
מרעית,נגב
אחיסמך,השפלה וההר
ישעי,השפלה וההר
עין יהב,נגב
חניאל,מרכז
ניר אליהו,מרכז
נחם,השפלה וההר
עופר,מרכז
יכיני,נגב
שלומי,גולן גליל
עין יעקב,גולן גליל
תלמים,נגב
זבדיאל,נגב
זנוח,השפלה וההר
עזריקם,השפלה וההר
זרחיה,השפלה וההר
אביגדור,השפלה וההר
חלץ,נגב
אחוזם,נגב
מטע,השפלה וההר
בר גיורא,השפלה וההר
כוכב מיכאל,נגב
נס הרים,השפלה וההר
עוזה,נגב
נווה מבטח,השפלה וההר
ישרש,השפלה וההר
מבטחים,נגב
ירוחם,נגב
נורית,עמקים
גנות,השפלה וההר
עזריאל,מרכז
פדיה,השפלה וההר
פתחיה,השפלה וההר
כיסופים,נגב
אלישמע,מרכז
געש,מרכז
מרגליות,גולן גליל
נחל עוז,נגב
כפר עזה,נגב
שפר,גולן גליל
בית רבן,השפלה וההר
דבירה,נגב
אחיטוב,מרכז
ניצני עוז,מרכז
גונן,גולן גליל
גאליה,השפלה וההר
רחוב,עמקים
שעלבים,השפלה וההר
כפר אביב,השפלה וההר
נווה ירק,מרכז
כסלון,השפלה וההר
שדה אליעזר,גולן גליל
גני יוחנן,השפלה וההר
גינתון,השפלה וההר
בקוע,השפלה וההר
שיבולים,נגב
יטבתה,נגב
אלוני יצחק,מרכז
גבעת השלושה,מרכז
עינת,מרכז
גאולי תימן,מרכז
שלווה,נגב
מגדל העמק,עמקים
כפר עבודה,מרכז
בית חירות,מרכז
עין שריד,מרכז
אורנים,עמקים
רמת-פנקס,מרכז
שדה בוקר,נגב
איתנים,השפלה וההר
"כפר הרי""ף",נגב
כפר חסידים ב',עמקים
כפר הנוער הדתי,עמקים
עבדון,גולן גליל
מדרשת רופין,מרכז
שבלי - אום אל-גנם,עמקים
ישע,נגב
עצמון שגב,גולן גליל
עצמון,גולן גליל
גבעת ישעיהו,השפלה וההר
שער מנשה,מרכז
רכסים,עמקים
נווה אבות,מרכז
אבו עמרה (שבט),נגב
אבו סריחאן (שבט),נגב
מסעודין אל-עזאזמה (שבט),נגב
סואעד (חמרייה)*,עמקים
בסמת טבעון,עמקים
חוג'ייראת (ד'הרה) (שבט),גולן גליל
הוזייל (שבט),נגב
עוקבי (בנו עוקבה) (שבט),נגב
אבו עבדון (שבט),נגב
אפיניש (שבט),נגב
אסד (שבט),נגב
אבו רוקייק (שבט),נגב
טובא-זנגרייה,גולן גליל
טובא זנגריה,גולן גליל
אעצם (שבט),נגב
קודייראת א-צאנע (שבט),נגב
אטרש (שבט),נגב
אבו רובייעה (שבט),נגב
אבו ג'ווייעד (שבט),נגב
אבו קורינאת (שבט),נגב
אבו קרינאת,נגב
עטאוונה (שבט),נגב
תראבין א-צאנע (שבט),נגב
בתי מלון ים המלח,נגב
קוואעין (שבט),נגב
זרזיר,עמקים
ג'נאביב (שבט),נגב
כעביה-טבאש-חג'אג'רה,עמקים
כעביה טבאש,עמקים
ח'ואלד (שבט),עמקים
ח'וואלד,עמקים
סואעד (כמאנה) (שבט),גולן גליל
ראס עלי,עמקים
חמאם,עמקים
מנשית זבדה,עמקים
רומת הייב,עמקים
ביר אל-מכסור,עמקים
מבשרת ציון,השפלה וההר
פנימיית עין כרם,השפלה וההר
אור עקיבא,מרכז
אזור תעשייה הר טוב,השפלה וההר
חרוצים,מרכז
ואדי אל נעם דרום,נגב
שדרות,נגב
מכללת ספיר,נגב
קריית מלאכי,השפלה וההר
אזור תעשייה תימורים,השפלה וההר
נצאצרה (שבט),נגב
כושי רמון,נגב
אבו עמאר (שבט),נגב
גיזו,השפלה וההר
יעף,מרכז
שתולה,גולן גליל
אוהד,נגב
חזון,גולן גליל
אפעל  סמינר,מרכז
רמת-אפעל,מרכז
בית חשמונאי,השפלה וההר
תלמי אליהו,נגב
קטורה,נגב
עין חצבה,נגב
תל שבע,נגב
"עין כרם-בי""ס חקלאי",השפלה וההר
נווה זוהר,נגב
שדה ניצן,נגב
כסיפה,נגב
כסייפה,נגב
לקיה,נגב
נוף הגליל,עמקים
נ.אפרים-מנסון,מרכז
מעלות-תרשיחא,גולן גליל
מעלות תרשיחא,גולן גליל
אמירים,גולן גליל
זמרת,נגב
"בני עי""ש",השפלה וההר
בני עי''ש,השפלה וההר
"דוב""ב",גולן גליל
דוב''ב,גולן גליל
אדמית,גולן גליל
רם-און,עמקים
רם און,עמקים
אביעזר,השפלה וההר
נווה מיכאל,השפלה וההר
גן הדרום,השפלה וההר
בית ברל,מרכז
גבעת שפירא,מרכז
צפרירים,השפלה וההר
מבועים,נגב
אבן מנחם,גולן גליל
מעגלים,נגב
תושייה,נגב
בן שמן (כפר נוער),השפלה וההר
באר גנים,נגב
כרם שלום,נגב
תארבין,נגב
חוות-שלם,מרכז
כרם ביבנה,השפלה וההר
כרם יבנה (ישיבה),השפלה וההר
גבעת וושינגטון,השפלה וההר
כפר מימון,נגב
כפר מימון ותושיה,נגב
מרכז שפירא,נגב
צוקי ים,מרכז
גני הדר,השפלה וההר
פורייה - כפר עבודה,עמקים
פורייה - נווה עובד,עמקים
שערי אברהם,השפלה וההר
אומן,עמקים
חבר,עמקים
צופייה,השפלה וההר
יודפת,גולן גליל
צור הדסה,השפלה וההר
שריגים (לי-און),השפלה וההר
אביבים,גולן גליל
יעל,עמקים
אדרת,השפלה וההר
נאות הכיכר,נגב
אלמגור,עמקים
אילות,נגב
מעלה גלבוע,עמקים
מי עמי,מרכז
גרופית,נגב
כפר רוזנואלד (זרעית),גולן גליל
שניר,גולן גליל
ורדון,נגב
יד השמונה,השפלה וההר
צוחר,נגב
קריית יערים,השפלה וההר
עין אל אסד,גולן גליל
יעד,גולן גליל
מעלה צביה,גולן גליל
כרמיאל,גולן גליל
אזור תעשייה כרמיאל,גולן גליל
מדרשת בן גוריון,נגב
מרחצאות עין גדי,נגב
מבוא מודיעים,השפלה וההר
נס עמים,גולן גליל
ידידה,השפלה וההר
אלומה,נגב
עלומים,נגב
נטועה,גולן גליל
צור נתן,מרכז
עזר,השפלה וההר
צופר,נגב
פארן,נגב
אשלים,נגב
כישור,גולן גליל
מלכישוע,עמקים
מגן שאול,עמקים
סמר,נגב
אחווה,השפלה וההר
יהל,נגב
שכניה,גולן גליל
רהט,נגב
בית רימון,עמקים
מורן,גולן גליל
שילת,השפלה וההר
כפר רות,השפלה וההר
קיסריה,מרכז
אזור תעשייה אלון התבור,מרכז
הוואשלה (שבט),נגב
סייד (שבט),נגב
לוטם,גולן גליל
תובל,גולן גליל
